mat__id,mat__type,mat__marque,mat__model,mat__pn,mat__sn,mat__idnec,mat__ident,mat__memo,mat__emplacement,mat__date_in,mat__kw_tg,mat__date_offg,mat__date_maj,mat__user_id,mat__contrat_id,mat__contrat_ligne,mat__actif
,,ZEBRA ,TC51,,181105 22 50 94 10,,,,,,NON Garantie ,,,,,,1
,,ZEBRA ,TC51,,180325 22 50 60 97,,,,,,,,,,,,
,,ZEBRA ,TC51,,191915 22 50 73 16,,,,,,,,,,,,
,,ZEBRA ,TC52,,213145 22 51 26 66,,,,,,,,,,,,
,,ZEBRA ,TC51,,171685 22 51 60 59,,,,,,,,,,,,
,,ZEBRA ,TC51,,181115 22 50 22 40,,,,,,,,,,,,
,,ZEBRA ,TC51,,181095 22 50 66 48,,,,,,,,,,,,
,,ZEBRA ,TC52,,200945 22 50 56 10,,,,,,,,,,,,
,,ZEBRA ,TC52,,200535 22 50 02 29,,,,,,,,,,,,
,,ZEBRA ,TC52,,203425 22 51 90 70,,,,,,,,,,,,
,,ZEBRA ,TC52,,200795 22 50 17 62,,,,,,,,,,,,
,,ZEBRA ,TC52,,200945 22 50 31 03,,,,,,,,,,,,
,,ZEBRA ,TC51,,180305 22 50 16 61,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 09 58,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 09 18,,,,,,,,,,,,
,,ZEBRA ,TC52,,203575 22 50 83 12,,,,,,,,,,,,
,,ZEBRA ,TC52,,220485 22 50 95 63,,,,,,,,,,,,
,,ZEBRA ,TC52,,220485 22 50 95 52,,,,,,,,,,,,
,,ZEBRA ,TC52,,200535 22 50 02 00,,,,,,,,,,,,
,,ZEBRA ,TC52,,200535 22 50 42 55,,,,,,,,,,,,
,,ZEBRA ,TC52,,200525 22 50 03 81,,,,,,,,,,,,
,,ZEBRA ,TC52,,200535 22 50 03 38,,,,,,,,,,,,
,,ZEBRA ,TC51,,191915 22 50 73 72,,,,,,,,,,,,
,,ZEBRA ,TC51,,191665 22 50 17 80,,,,,,,,,,,,
,,ZEBRA ,TC51,,190585 22 50 32 90,,,,,,,,,,,,
,,ZEBRA ,TC51,,190585 22 50 33 32,,,,,,,,,,,,
,,ZEBRA ,TC52,,200535 22 50 44 97,,,,,,,,,,,,
,,ZEBRA ,TC51,,181115 22 50 24 64,,,,,,,,,,,,
,,ZEBRA ,TC52,,213145 22 51 22 68,,,,,,,,,,,,
,,ZEBRA ,TC52,,203425 22 51 92 16,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 05 27,,,,,,,,,,,,
,,ZEBRA ,TC51,,181385 22 51 42 98,,,,,,,,,,,,
,,ZEBRA ,TC52,,200985 22 50 40 31,,,,,,,,,,,,
,,ZEBRA ,TC52,,213145 22 51 21 06,,,,,,,,,,,,
,,ZEBRA ,TC52,,211675 22 50 81 28,,,,,,,,,,,,
,,ZEBRA ,TC52,,210765 22 50 90 76,,,,,,,,,,,,
,,ZEBRA ,TC52,,213135 22 51 50 07,,,,,,,,,,,,
,,ZEBRA ,TC52,,213145 22 51 27 73,,,,,,,,,,,,
,,ZEBRA ,TC52,,203575 22 51 17 14,,,,,,,,,,,,
,,ZEBRA ,TC51,,191665 22 50 18 08,,,,,,,,,,,,
,,ZEBRA ,TC51,,191915 22 50 74 31,,,,,,,,,,,,
,,ZEBRA ,TC52,,200525 22 50 01 55,,,,,,,,,,,,
,,ZEBRA ,TC52,,220485 22 50 94 02,,,,,,,,,,,,
,,ZEBRA ,TC51,,190585 22 50 34 22,,,,,,,,,,,,
,,ZEBRA ,TC51,,180325 22 50 44 61,,,,,,,,,,,,
,,ZEBRA ,TC51,,181275 22 50 07 60,,,,,,,,,,,,
,,ZEBRA ,TC52,,203435 22 51 28 09,,,,,,,,,,,,
,,ZEBRA ,TC52,,213155 22 52 06 71,,,,,,,,,,,,
,,ZEBRA ,TC52,,213155 22 52 07 25,,,,,,,,,,,,
,,ZEBRA ,TC52,,210765 22 50 69 40,,,,,,,,,,,,
,,ZEBRA ,TC51,,181105 22 50 94 96,,,,,,,,,,,,
,,ZEBRA ,TC52,,202475 22 52 37 64,,,,,,,,,,,,
,,ZEBRA ,TC52,,213155 22 52 08 04,,,,,,,,,,,,
,,ZEBRA ,TC52,,213155 22 52 07 39,,,,,,,,,,,,
,,ZEBRA ,TC52,,213155 22 50 72 93,,,,,,,,,,,,
,,ZEBRA ,TC52,,202475 22 52 34 06,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 09 11,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 04 63,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 04 44,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 10 67,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222655 22 51 09 93,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222645 22 51 97 15,,,,,,,,,,,,
,,ZEBRA ,TC52X,,222645 22 51 98 70,,,,,,,,,,,,